LOCAL;LINEA;DESCRIP.LINEA;SUBINEA;DESCRIP.SUBL;CLASE;DESCRIP.CLASE;SUBCLASE;DESCRIP.SUBCLASE;MARCA;NUMBER;UPC;DESCRIP.PRODUCTO;P.VTA;P.CST;STOCK DISPONIBLE;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;EPSON     ;17533512       ;2017533512007;DV_ MULTIFUNCIONAL EPSON L32;+000099900,00;+000161328,49;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;17619168       ;2017619168005;DV_ IMPR HP DESKJET IA 2874 ;+000039900,00;+000056780,48;+000000002,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;17732691       ;2017732691008;DV_ MULTIFUNCIONAL HP SMART ;+000077400,00;+000116582,15;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;BROTHER   ;17732692       ;2017732692005;DV_ MULTIFUNCIONAL BROTHER D;+000069900,00;+000114291,75;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;HP        ;17732695       ;2017732695006;DV_ MULTIFUNCIONAL HP SMART ;+000077400,00;+000116582,15;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;EPSON     ;17750269       ;2017750269005;DV_ MULTIFUNCIONAL EPSON L32;+000104800,00;+000161338,00;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;CANON     ;6713826        ;0013803292541;MULTIFUNCIONAL CANON G-4110 ;+000209990,00;+000132346,78;+000000003,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;BROTHER   ;7340777        ;0012502639763;@MULTIF LASER BROTHER DCP160;+000124990,00;+000083998,50;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;EPSON     ;80616167       ;0198390000981;MULTIFUNCIONAL EPSON L4360 E;+000299990,00;+000201674,00;+000000010,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;EPSON     ;80774086       ;0198390011659;Impresora Epson L1350       ;+000184990,00;+000124363,00;+000000008,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;EPSON     ;80774088       ;0198390011611;Multifuncional Epson L3350  ;+000229990,00;+000154615,00;+000000004,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;BROTHER   ;8447248        ;0012502651604;@MULTIFINCIONAL TINTA MFCT45;+000935990,00;+000629200,00;-000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040302;MULTIFUNCIONALES              ;CANON     ;8896222        ;0013803317848;MULTIFUNCIONAL TINTA CONT G-;+000249990,00;+000157551,00;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110403;IMPRESORAS                    ;J11040303;IMPRESORA FOTOGRAFICA         ;XIAOMI    ;80611988       ;6932554418427;IMPRESORA FOTOGRÁFICA PORT? ;+000079990,00;+000039278,00;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;15139514       ;0013803330915;TINTAS CANON GI-11 BLACK 135;+000013790,00;+000007986,40;+000000014,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;15139515       ;0013803330953;TINTAS CANON GI-11 CYAN 70ML;+000012490,00;+000007509,51;+000000005,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;15139516       ;0013803330977;TINTAS CANON GI-11 MAGENTA 7;+000012490,00;+000007508,20;+000000015,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;15139538       ;0013803330991;TINTAS CANON GI-11 YELLOW 70;+000012490,00;+000007512,70;+000000006,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;15162829       ;0193015522435;TINTAS HP 667 TRICOLOR      ;+000016990,00;+000010454,31;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;15162829       ;2000151628298;TINTAS HP 667 TRICOLOR      ;+000016990,00;+000010454,31;+000000005,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;15162832       ;2000151628328;TINTAS HP 667 NEGRO         ;+000016990,00;+000010359,68;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;15162832       ;0193015522459;TINTAS HP 667 NEGRO         ;+000016990,00;+000010359,68;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;16052637       ;4549292169683;Tinta Botella GI-11 YELLOW C;+000014390,00;+000014390,00;+000000004,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;16052640       ;4549292169669;Tinta Botella GI-11 MAGENTA ;+000014390,00;+000014390,00;+000000003,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;16052641       ;4549292169485;Tinta Botella GI-11 BLACK - ;+000016900,00;+000016900,00;-000000002,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;16052651       ;4549292169645;Tinta Botella GI-11 CYAN Can;+000014390,00;+000014390,00;+000000005,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;16101706       ;2001610170600;PACK BOTELLAS EPSON T544 2 N;+000019990,00;+000012845,76;+000000005,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;16101706       ;0010343965959;PACK BOTELLAS EPSON T544 2 N;+000019990,00;+000012845,76;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;16101707       ;0010343965966;PACK BOTELLAS EPSON T544 CMA;+000029990,00;+000018914,15;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;16101707       ;2000161017075;PACK BOTELLAS EPSON T544 CMA;+000029990,00;+000018914,15;+000000004,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;16101708       ;2001610170808;PACK BOTELLAS EPSON T544 NCM;+000039990,00;+000024969,97;+000000003,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;16101708       ;0010343965973;PACK BOTELLAS EPSON T544 NCM;+000039990,00;+000024969,97;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;16757090       ;0013803330755;TINTAS CANON Gi-16CYAN      ;+000030490,00;+000018068,08;+000000002,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;16757091       ;0013803330779;TINTAS CANON Gi-16 MAGENTA  ;+000030490,00;+000018068,86;+000000003,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;16757092       ;0013803330793;TINTAS CANON Gi-16 AMARILLO ;+000030490,00;+000018074,26;+000000002,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297265       ;2917297265006;TINTA BTD100C CIAN          ;+000010990,00;+000006300,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297265       ;0012502676768;TINTA BTD100C CIAN          ;+000010990,00;+000006300,00;+000000013,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297266       ;2917297266003;TINTA BTD100M MAGENTA       ;+000010990,00;+000006300,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297266       ;0012502676775;TINTA BTD100M MAGENTA       ;+000010990,00;+000006300,00;+000000015,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297267       ;2917297267000;TINTA BTD100Y AMARILLA      ;+000010990,00;+000006300,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297267       ;0012502676782;TINTA BTD100Y AMARILLA      ;+000010990,00;+000006300,00;+000000010,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297268       ;2917297268007;TINTA BTD100BK NEGRA        ;+000011990,00;+000006900,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297268       ;0012502676751;TINTA BTD100BK NEGRA        ;+000011990,00;+000006900,00;+000000014,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297269       ;0012502676805;PACK 3 TINTAS BTD100CL3PK   ;+000027990,00;+000016400,00;+000000006,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297269       ;2917297269004;PACK 3 TINTAS BTD100CL3PK   ;+000027990,00;+000016400,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297270       ;2917297270000;PACK 2 TINTAS BTD100BK2PK   ;+000021990,00;+000012600,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297270       ;0012502676799;PACK 2 TINTAS BTD100BK2PK   ;+000021990,00;+000012600,00;+000000012,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297271       ;2917297271007;PACK 4 TINTASBTD100CMYK     ;+000037990,00;+000022000,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;17297271       ;0028310026954;PACK 4 TINTASBTD100CMYK     ;+000037990,00;+000022000,00;+000000006,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;3551801        ;0010343885301;T664220-AL CYAN             ;+000010690,00;+000005794,99;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;3551802        ;0010343885318;T664320-AL MAGENTA          ;+000010690,00;+000005851,75;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;4740791        ;0012502641018;TINTAS BROTHER BT5001 C CYAN;+000009990,00;+000006299,44;+000000003,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;4740792        ;0012502641025;TINTAS BROTHER BT5001 M MAGE;+000009990,00;+000006299,24;+000000006,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;4740793        ;0012502641032;TINTAS BROTHER BT5001 Y YELL;+000009990,00;+000006407,21;+000000011,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;4839263        ;2000483926307;TINTAS HP 664 BLACK         ;+000016990,00;+000010497,70;+000000002,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;4839263        ;0889296597148;TINTAS HP 664 BLACK         ;+000016990,00;+000010497,70;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;4839266        ;2000483926604;TINTAS HP 664 TRICOLOR      ;+000016990,00;+000010575,62;+000000008,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;4839266        ;0889296597124;TINTAS HP 664 TRICOLOR      ;+000016990,00;+000010575,62;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;5189680        ;0013803268201;BOTELLA CANON GI-190 NEGRA  ;+000011990,00;+000006947,49;+000000003,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;5189680        ;4549292054729;BOTELLA CANON GI-190 NEGRA  ;+000011990,00;+000006947,49;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;5189685        ;4549292041828;BOTELLA CANON GI-190 CYAN   ;+000009190,00;+000006382,78;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;5189685        ;0013803258998;BOTELLA CANON GI-190 CYAN   ;+000009190,00;+000006382,78;+000000006,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;5189696        ;4549292041842;BOTELLA  CANON GI-190 MAGENT;+000009990,00;+000006524,53;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;5189696        ;0013803259018;BOTELLA  CANON GI-190 MAGENT;+000009990,00;+000006524,53;+000000006,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;5189698        ;0013803259032;BOTELLA  CANON GI-190 AMARIL;+000009990,00;+000006560,39;+000000007,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;CANON     ;5189698        ;4549292041866;BOTELLA  CANON GI-190 AMARIL;+000009990,00;+000006560,39;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;5617455        ;2000561745509;TINTAS HP INC 70ML CYAN     ;+000011990,00;+000007382,94;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;5617455        ;0190780132524;TINTAS HP INC 70ML CYAN     ;+000011990,00;+000007382,94;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;5617590        ;0190780132548;TINTAS HP INC 70 ML MAGENTA ;+000011990,00;+000007413,41;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;5617590        ;2000561759001;TINTAS HP INC 70 ML MAGENTA ;+000011990,00;+000007413,41;+000000003,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;5617767        ;2000561776701;TINTAS HP INC 70 ML AMARILLA;+000011990,00;+000007505,81;+000000005,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;HP        ;5617767        ;0190780132562;TINTAS HP INC 70 ML AMARILLA;+000011990,00;+000007505,81;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6540136        ;2000654013607;BOTELLA EPSON T504 NEGRA    ;+000011790,00;+000007380,00;+000000001,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6540136        ;0010343938748;BOTELLA EPSON T504 NEGRA    ;+000011790,00;+000007380,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6540297        ;2000654029707;BOTELLA  EPSON T504 CYAN    ;+000010690,00;+000006640,00;+000000006,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6540297        ;0010343938755;BOTELLA  EPSON T504 CYAN    ;+000010690,00;+000006640,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6540307        ;0010343938762;BOTELLA  EPSON T504 MAGENTA ;+000010690,00;+000006640,00;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6540307        ;2000654030703;BOTELLA  EPSON T504 MAGENTA ;+000010690,00;+000006640,00;+000000006,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6540314        ;0010343938779;BOTELLA  EPSON T504 YELLOW  ;+000010690,00;+000006639,39;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6540314        ;2000654031403;BOTELLA  EPSON T504 YELLOW  ;+000010690,00;+000006639,39;+000000008,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;BROTHER   ;6630660        ;0012502650386;Botella Tinta Brother BTD60 ;+000011990,00;+000006900,36;+000000012,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6905427        ;0010343941977;BOTELLA TINTA EPSON T544120 ;+000010690,00;+000006639,97;+000000000,00;
3660;J11;ELECTRO HOGAR                 ;J1104;COMPUTACION Y HOGAR           ;J110406;SUMINISTROS                   ;J11040601;TINTAS                        ;EPSON     ;6905427        ;2000690542703;BOTELLA TINTA EPSON T544120 ;+000010690,00;+000006639,97;+000000019,00;
